Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1890,292.45799899467517,896.3831741486846,278.2730492916152,0,0,0.0003199651245269127,0,0,0,5.791463739398062e-06,0,0,0,0,0,0,3.088535755736282e-05,34.05149999683504,0.00050005929251497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155018084712896,32.11125116213414
1891,292.81599895276145,899.6662679579157,278.3470486211059,0,0,0.0003225045302771264,0,0,0,5.837427737329793e-06,0,0,0,0,0,0,3.1132440417821725e-05,34.051599996834874,0.0005165705498278486,3.280652570006609e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155102320350302,32.111302999449464
1892,293.1669989393681,903.534186208477,278.44204861488447,0,0,0.00032504393602734007,0,0,0,5.883391735261523e-06,0,0,0,0,0,0,3.137952327828063e-05,34.05169999683467,0.0005333653071407378,3.048190000000654e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155187417566847,32.11135536696734
1893,293.47699893819015,907.274128382734,278.55404816276183,0,0,0.0003275833417775536,0,0,0,5.929355733193252e-06,0,0,0,0,0,0,3.1626606138739534e-05,34.05179999683451,0.0005504500644535538,6.922830000000004e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15527316994858,32.111408137663794
1894,293.79099890627157,910.4781391513702,278.6890477557381,0,0,0.00033012274752776725,0,0,0,5.975319731124985e-06,0,0,0,0,0,0,3.1873688999198425e-05,34.05189999683435,0.0005678308217664509,1.2421700000000235e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15535966907057,32.11146136789271
1895,294.07899885431,913.2259779267592,278.8310471739631,0,0,0.0003326621532779808,0,0,0,6.021283729056715e-06,0,0,0,0,0,0,3.2120771859657336e-05,34.052099996834166,0.0005855145790792308,1.9587900000000452e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15550318341279,32.111549684410996
1896,294.3649988147239,914.7710873356496,278.9390487016186,0,0,0.0003352015590281944,0,0,0,6.067247726988446e-06,0,0,0,0,0,0,3.236785472011623e-05,34.052199996833984,0.0006035068363921823,2.846410000001536e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155591229036265,32.111603866333134
1897,294.64599876560305,916.2742713849129,279.05104771775603,0,0,0.000337740964778408,0,0,0,6.113211724920176e-06,0,0,0,0,0,0,3.261493758057514e-05,34.05229999683382,0.0006218145937050092,3.9093400000005085e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155680074420996,32.111658540416045
1898,294.95399869752913,919.0172210879537,279.16304880309127,0,0,0.00034028037052862155,0,0,0,6.159175722851906e-06,0,0,0,0,0,0,3.286202044103404e-05,34.052499996833625,0.0006404438510178604,5.151869999999647e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155825986449468,32.11174833243357
1899,295.2999985784397,922.2811821278001,279.30804694571594,0,0,0.0003428197762788351,0,0,0,6.205139720783637e-06,0,0,0,0,0,0,3.310910330149294e-05,34.052599996833465,0.0006594006083307941,6.5783000000028886e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.155916482021706,32.11180402201648
1900,295.67499844167355,925.5521140715754,279.4540477512095,0,0,0.00034535918202904884,0,0,0,6.251103718715368e-06,0,0,0,0,0,0,3.3356186161951845e-05,34.05279999683329,0.0006786918656437203,8.19291000000397e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02500037682723694,456.99999999999847,6.912761280220035,5.999999999600976,5.299997817646468,0.004446569999799172,0,0,16.51288249689319,19.156064079565184,32.1118948143702
1901,296.0069979664698,928.8003363466668,279.6130478760778,0,0,0.0003478985877792623,0,0,0,6.297067716647097e-06,0,0,0,0,0,0,3.3603269022410756e-05,34.05289999683303,0.0007011479094043935,9.999999999999726e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000494476904497,456.9999999999978,6.912761280219802,6.000000000514491,5.299997817644717,0.0044465699992931275,0,0,16.512882559622437,19.156160708927434,32.11195435579834
